Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:24
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:25
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:27
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:28
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:30
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:31
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:32
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:34
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:35
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 8 start at 25/05/2017-14:32:37
