exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 47904953, OMP = 22096712, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 47952883, OMP = 23933444, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 47778124, OMP = 19137104, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 47591274, OMP = 25371174, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 54262893, OMP = 19115715, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 47032888, OMP = 17344779, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 50311615, OMP = 24836828, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 48266987, OMP = 22323878, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 52147486, OMP = 16609606, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 128, num_threads = 4,
version = OMP, num_threads = 4, N = 8388608, ORIG = 47776943, OMP = 23089287, 
