Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:23
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:25
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:26
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:28
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:29
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:31
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:32
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:34
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:35
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 4 start at 25/05/2017-14:30:37
