Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:36
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:37
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:39
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:40
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:42
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:43
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:45
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:46
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:48
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 2 start at 25/05/2017-14:28:49
