Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:36
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:37
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:39
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:40
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:42
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:43
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:45
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:46
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:48
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 256, threads: 2 start at 25/05/2017-14:29:49
