Experiment 'schedule-test', execution 1 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:01
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:01
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:02
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:02
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:02
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:02
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:02
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:02
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:03
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 4 start at 24/05/2017-07:02:03
