exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 51622158, OMP = 52765637, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 48137585, OMP = 33937717, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 47881510, OMP = 39690458, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 50976815, OMP = 34955880, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 48841067, OMP = 33939681, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 50464841, OMP = 50733696, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 49287834, OMP = 57249476, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 50252120, OMP = 54287748, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 49297422, OMP = 50426794, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 1,
version = OMP, num_threads = 1, N = 8388608, ORIG = 48122300, OMP = 40608687, 
