Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:28:51
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:28:52
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:28:54
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:28:55
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:28:57
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:28:58
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:29:00
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:29:01
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:29:03
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 32, threads: 2 start at 25/05/2017-14:29:04
