Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:20
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:22
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:23
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:25
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:26
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:28
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:29
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:31
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:32
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 128, threads: 2 start at 25/05/2017-14:29:34
