exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 6729030, OMP = 5948245, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 6635845, OMP = 6030866, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 8060241, OMP = 6069259, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 6928406, OMP = 6010141, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 6828702, OMP = 5379180, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 8640800, OMP = 7867747, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 7252698, OMP = 5585440, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 6678873, OMP = 4236298, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 6380136, OMP = 6966359, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 1,
version = OMP, num_threads = 1, N = 1048576, ORIG = 7014707, OMP = 6082238, 
