Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:55
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:55
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:56
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:57
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:57
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:58
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:58
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:59
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:05:59
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 16, threads: 8 start at 24/05/2017-07:06:00
