exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 12165000, OMP = 32913000, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 9160000, OMP = 55734000, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 11043000, OMP = 37116000, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 10001000, OMP = 36928000, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 10057000, OMP = 34322000, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 11389000, OMP = 28211000, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 10588000, OMP = 23797000, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 7207000, OMP = 42563000, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 9268000, OMP = 37720000, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 4,
version = OMP, num_threads = 4, N = 1048576, ORIG = 6540000, OMP = 40740000, 
