Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:09
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:11
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:12
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:13
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:15
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:16
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:18
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:19
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:21
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:32:22
