exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 66304000, OMP = 19766000, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 86698000, OMP = 19857000, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 60152000, OMP = 17847000, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 76035000, OMP = 22172000, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 86259000, OMP = 31691000, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 130304000, OMP = 21188000, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 57382000, OMP = 17038000, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 62117000, OMP = 16029000, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 60995000, OMP = 17239000, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 8388608, schedule = GUIDED, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 58743000, OMP = 18085000, 
