exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 9411000, OMP = 4843000, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 8362000, OMP = 3193000, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 11191000, OMP = 4049000, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 11001000, OMP = 6555000, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 9023000, OMP = 3380000, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 10855000, OMP = 11779000, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 11060000, OMP = 4629000, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 10638000, OMP = 8289000, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 7443000, OMP = 2824000, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 1048576, schedule = GUIDED, chunk_size = 128, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 8189000, OMP = 2712000, 
