Experiment 'schedule-test', execution 1 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:16
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:16
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:16
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:16
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:17
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:17
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:17
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:17
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:17
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 1048576, schedule: DYNAMIC, chunk_size: 32, threads: 1 start at 24/05/2017-07:01:17
