Experiment 'schedule-test', execution 1 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:53
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:53
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:54
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:54
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:54
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:54
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:54
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:54
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:55
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 1048576, schedule: STATIC, chunk_size: 64, threads: 8 start at 25/05/2017-14:27:55
