exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 70403000, OMP = 270447000, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 75376000, OMP = 255705000, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 66102000, OMP = 254439000, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 86086000, OMP = 246730000, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 62275000, OMP = 259811000, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 56688000, OMP = 257591000, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 70551000, OMP = 257744000, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 80497000, OMP = 259352000, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 56805000, OMP = 256904000, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 8388608, schedule = STATIC, chunk_size = 64, num_threads = 8,
version = OMP, num_threads = 8, N = 8388608, ORIG = 85977000, OMP = 227254000, 
