Experiment 'schedule-test', execution 1 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:34
Experiment 'schedule-test', execution 2 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:34
Experiment 'schedule-test', execution 3 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:34
Experiment 'schedule-test', execution 4 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:34
Experiment 'schedule-test', execution 5 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:35
Experiment 'schedule-test', execution 6 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:35
Experiment 'schedule-test', execution 7 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:35
Experiment 'schedule-test', execution 8 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:36
Experiment 'schedule-test', execution 9 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:36
Experiment 'schedule-test', execution 10 of vectoradd with dataset: 8388608, schedule: GUIDED, chunk_size: 64, threads: 1 start at 24/05/2017-07:03:36
