exp = schedule-test, execution = 1, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6516676, OMP = 156004629, 
exp = schedule-test, execution = 2, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6625749, OMP = 169313901, 
exp = schedule-test, execution = 3, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6787001, OMP = 168947752, 
exp = schedule-test, execution = 4, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6651878, OMP = 165578940, 
exp = schedule-test, execution = 5, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 5994998, OMP = 170728447, 
exp = schedule-test, execution = 6, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6056240, OMP = 169351559, 
exp = schedule-test, execution = 7, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6927011, OMP = 168317906, 
exp = schedule-test, execution = 8, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6620477, OMP = 169121481, 
exp = schedule-test, execution = 9, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 6709040, OMP = 170522969, 
exp = schedule-test, execution = 10, benchmark = vectoradd, size_of_data = 1048576, schedule = STATIC, chunk_size = 32, num_threads = 8,
version = OMP, num_threads = 8, N = 1048576, ORIG = 5975762, OMP = 168383347, 
